# stable entry ID (do not change if users may have marked as known),# Swedish word (lemma),# verb | adjective | adverb | noun | numeral | etc.,# English translation,# Brazilian Portuguese translation,# semicolon-separated inflected forms for search,# optional CEFR level (A1–C2),# optional raw corpus frequency (Kelly),# optional words-per-million frequency (Kelly),# practice | kelly | manual,# example 1 Swedish sentence,# example 1 English gloss,# example 1 Portuguese gloss,# optional: past | present | future,# optional tokens: word|lemma|en|pt;word2|lemma2|en2|pt2,# example 2 Swedish (verbs: present tense),# example 2 English,# example 2 Portuguese,# example 2 tense key,# example 2 token breakdown,# example 3 Swedish (verbs: future tense),# example 3 English,# example 3 Portuguese,# example 3 tense key,# example 3 token breakdown,# optional usage note (Kelly source text)
id,lemma,type,english,portuguese,forms,cefr,frequency,wpm,source,ex1_sv,ex1_en,ex1_pt,ex1_tense,ex1_tokens,ex2_sv,ex2_en,ex2_pt,ex2_tense,ex2_tokens,ex3_sv,ex3_en,ex3_pt,ex3_tense,ex3_tokens,usage_note
kelly-6538-komedi,komedi,noun,comedy,comédia,komedi,C1,,4.87,kelly,,,,,,,,,,,,,,,,
kelly-7429-komfort,komfort,noun,comfort,conforto,komfort,C2,,2.52,kelly,,,,,,,,,,,,,,,,
kelly-5683-komisk,komisk,adjective,comic / comical,cómico,komisk,C1,791,6.94,kelly,,,,,,,,,,,,,,,,
kelly-1189-kommande,kommande,adjective,upcoming,seguinte,kommande,A1,,79.27,kelly,,,,,,,,,,,,,,,,
kelly-7403-kommando,kommando,noun,command,comando,kommando,C2,,2.57,kelly,,,,,,,,,,,,,,,,
kelly-7957-kommendant,kommendant,noun,commandant,comandante,kommendant,C2,,1.25,kelly,,,,,,,,,,,,,,,,
kelly-200-kommentar,kommentar,noun,comment,comentário,kommentar,A1,105416,924.68,kelly,Tack för din fina kommentar på min nya bild.,Thank you for your nice comment on my new picture.,Obrigado pelo seu comentário legal na minha foto nova.,,Tack|tack|thanks|obrigado;för|för|—|—;din|din|—|—;fina|fina|—|—;kommentar|kommentar|comment|comentário;på|på|on|em;min|min|—|—;nya|nya|—|—;bild.|bild|—|—,Han skrev en kort kommentar under artikeln på nätet.,He wrote a short comment under the article online.,Ele escreveu um comentário curto embaixo do artigo na internet.,,Han|han|he|ele;skrev|skrev|—|—;en|en|a|um;kort|kort|—|—;kommentar|kommentar|comment|comentário;under|under|—|—;artikeln|artikeln|—|—;på|på|on|em;nätet.|nätet|—|—,Läraren gav en positiv kommentar om mitt arbete idag.,The teacher gave a positive comment about my work today.,O professor deu um comentário positivo sobre o meu trabalho hoje.,,Läraren|läraren|—|—;gav|gav|—|—;en|en|a|um;positiv|positiv|—|—;kommentar|kommentar|comment|comentário;om|om|about|sobre;mitt|mitt|—|—;arbete|arbete|—|—;idag.|idag|today|hoje,
kelly-6385-kommentator,kommentator,noun,host,apresentador,kommentator,C1,,5.4,kelly,,,,,,,,,,,,,,,,
kelly-701-kommentera,kommentera,verb,comment,comentar,kommentera;kommenterade;kommenterar,A1,16297,142.95,kelly,Han kommenterade artikeln på webben igår kväll.,He commented on the article on the web last night.,Ele comentou o artigo na web ontem à noite.,past,Han|han|he|ele;kommenterade|kommenterade|—|—;artikeln|artikeln|—|—;på|på|on|em;webben|webben|—|—;igår|igår|yesterday|ontem;kväll.|kväll|—|—,Eleverna kommenterar ofta lärarens roliga bilder nu.,The students often comment on the teacher's funny pictures now.,Os alunos comentam frequentemente as fotos engraçadas do professor agora.,present,Eleverna|eleverna|—|—;kommenterar|kommenterar|—|—;ofta|ofta|—|—;lärarens|lärarens|—|—;roliga|roliga|—|—;bilder|bilder|—|—;nu.|nu|now|agora,Vi ska kommentera dagens viktiga möte imorgon bitti.,We will comment on today's important meeting tomorrow morning.,Nós vamos comentar a reunião importante de hoje amanhã de manhã.,future,Vi|vi|we|nós;ska|ska|will|vai;kommentera|kommentera|comment|comentar;dagens|dagens|—|—;viktiga|viktiga|—|—;möte|möte|—|—;imorgon|imorgon|tomorrow|amanhã;bitti.|bitti|—|—,
kelly-2375-kommersiell,kommersiell,adjective,commercial,comercial,kommersiell;kommersiellt,A2,3466,30.4,kelly,Det är en mycket framgångsrik kommersiell film från Hollywood.,It is a very successful commercial film from Hollywood.,É um filme comercial muito bem-sucedido de Hollywood.,,Det|det|it|isso;är|är|is|é;en|en|a|um;mycket|mycket|much|muito;framgångsrik|framgångsrik|—|—;kommersiell|kommersiell|commercial|comercial;film|film|—|—;från|från|from|de;Hollywood.|hollywood|—|—,Vi bygger ett nytt kommersiellt centrum nära tågstationen.,We are building a new commercial center near the train station.,Estamos construindo um novo centro comercial perto da estação de trem.,,Vi|vi|we|nós;bygger|bygger|—|—;ett|ett|a|um;nytt|nytt|—|—;kommersiellt|kommersiell|commercial|comercial;centrum|centrum|—|—;nära|nära|—|—;tågstationen.|tågstationen|—|—,Detta företag har ett stort kommersiellt intresse för ny teknik.,This company has a great commercial interest in new technology.,Esta empresa tem um grande interesse comercial em novas tecnologias.,,Detta|detta|—|—;företag|företag|—|—;har|har|has|tem;ett|ett|a|um;stort|stort|—|—;kommersiellt|kommersiell|commercial|comercial;intresse|intresse|—|—;för|för|—|—;ny|ny|—|—;teknik.|teknik|—|—,
kelly-7765-kommissarie,kommissarie,noun,commissioner / commissar,comissário,kommissarie,C2,,1.68,kelly,,,,,,,,,,,,,,,,
kelly-650-kommission,kommission,noun,commission / committee,comissão,kommission,A1,17936,157.33,kelly,En ny kommission ska undersöka problemet i skolan.,A new commission will investigate the problem at school.,Uma nova comissão vai investigar o problema na escola.,,En|en|a|um;ny|ny|—|—;kommission|kommission|commission|comissão;ska|ska|will|vai;undersöka|undersöka|—|—;problemet|problemet|—|—;i|i|in|em;skolan.|skolan|—|—,Hon leder en liten kommission för miljöfrågor.,She leads a small committee for environmental issues.,Ela lidera uma pequena comissão para questões ambientais.,,Hon|hon|she|ela;leder|leder|—|—;en|en|a|um;liten|liten|—|—;kommission|kommission|commission|comissão;för|för|—|—;miljöfrågor.|miljöfrågor|—|—,Deras kommission har presenterat en viktig rapport idag.,Their committee has presented an important report today.,A comissão deles apresentou um relatório importante hoje.,,Deras|deras|—|—;kommission|kommission|commission|comissão;har|har|has|tem;presenterat|presenterat|—|—;en|en|a|um;viktig|viktig|—|—;rapport|rapport|—|—;idag.|idag|today|hoje,
kelly-1787-kommitte,kommitté,noun,committee,comité,kommitté,A2,5244,46,kelly,En kommitté ska utreda frågan om nya skolan.,A committee will investigate the question about the new school.,Um comité vai investigar a questão sobre a nova escola.,,En|en|a|um;kommitté|kommitté|committee|comité;ska|ska|will|vai;utreda|utreda|—|—;frågan|frågan|—|—;om|om|about|sobre;nya|nya|—|—;skolan.|skolan|—|—,Alla medlemmar i vår kommitté röstade för förslaget.,All members of our committee voted for the proposal.,Todos os membros do nosso comité votaram a favor da proposta.,,Alla|alla|—|—;medlemmar|medlemmar|—|—;i|i|in|em;vår|vår|—|—;kommitté|kommitté|committee|comité;röstade|röstade|—|—;för|för|—|—;förslaget.|förslaget|—|—,Denna lokala kommitté planerar årets stora sommarfest.,This local committee is planning this year's big summer party.,Este comité local está a planear a grande festa de verão deste ano.,,Denna|denna|—|—;lokala|lokala|—|—;kommitté|kommitté|committee|comité;planerar|planerar|—|—;årets|årets|—|—;stora|stora|—|—;sommarfest.|sommarfest|—|—,
kelly-449-kommun,kommun,noun,municipality,município,kommun,A1,27590,242.01,kelly,Vilken kommun bor du i just nu?,Which municipality do you live in right now?,Em qual município você mora agora?,,Vilken|vilken|—|—;kommun|kommun|municipality|município;bor|bor|—|—;du|du|you|você;i|i|in|em;just|just|—|—;nu?|nu|now|agora,Min kommun planerar att bygga en ny skola.,My municipality is planning to build a new school.,Meu município está planejando construir uma escola nova.,,Min|min|—|—;kommun|kommun|municipality|município;planerar|planerar|—|—;att|att|—|—;bygga|bygga|—|—;en|en|a|um;ny|ny|—|—;skola.|skola|—|—,Det finns många fina parker i denna kommun.,There are many nice parks in this municipality.,Existem muitos parques bonitos neste município.,,Det|det|it|isso;finns|finns|—|—;många|många|—|—;fina|fina|—|—;parker|parker|—|—;i|i|in|em;denna|denna|—|—;kommun.|kommun|municipality|município,
kelly-1581-kommunal,kommunal,adjective,municipal,municipal,kommunal;kommunala,A2,6208,54.45,kelly,Vi besökte det kommunala biblioteket i centrum igår.,We visited the municipal library in the center yesterday.,Nós visitamos a biblioteca municipal no centro ontem.,,Vi|vi|we|nós;besökte|besökte|—|—;det|det|it|isso;kommunala|kommunal|municipal|municipal;biblioteket|biblioteket|—|—;i|i|in|em;centrum|centrum|—|—;igår.|igår|yesterday|ontem,Hennes pappa arbetar för den kommunala skolan här.,Her dad works for the municipal school here.,O pai dela trabalha para a escola municipal aqui.,,Hennes|hennes|—|—;pappa|pappa|—|—;arbetar|arbetar|—|—;för|för|—|—;den|den|it|ele;kommunala|kommunal|municipal|municipal;skolan|skolan|—|—;här.|här|here|aqui,Det finns en kommunal simhall nära vår bostad.,There is a municipal swimming pool near our residence.,Existe uma piscina municipal perto da nossa residência.,,Det|det|it|isso;finns|finns|—|—;en|en|a|um;kommunal|kommunal|municipal|municipal;simhall|simhall|—|—;nära|nära|—|—;vår|vår|—|—;bostad.|bostad|—|—,
kelly-4099-kommunfullmaktige,kommunfullmäktige,noun,district council,conselho distrital,kommunfullmäktige,B1,1416,12.42,kelly,,,,,,,,,,,,,,,,
kelly-2684-kommunicera,kommunicera,verb,communicate,comunicar,kommunicera;kommunicerade;kommunicerar,A2,2887,25.32,kelly,Vi kommunicerade bra under hela mötet igår.,We communicated well during the whole meeting yesterday.,Nós nos comunicamos bem durante toda a reunião ontem.,past,Vi|vi|We|Nós;kommunicerade|kommunicerade|communicated|nos comunicamos;bra|bra|well|bem;under|under|during|durante;hela|hela|the whole|toda;mötet|mötet|meeting|a reunião;igår.|igår|yesterday.|ontem.,De kommunicerar ofta via e-post på jobbet.,They often communicate via email at work.,Eles frequentemente se comunicam por e-mail no trabalho.,present,De|de|They|Eles;kommunicerar|kommunicerar|communicate|se comunicam;ofta|ofta|often|frequentemente;via|via|via|por;e-post|e-post|email|e-mail;på|på|at|no;jobbet.|jobbet|work.|trabalho.,Jag ska kommunicera nyheterna till min familj snart.,I will communicate the news to my family soon.,Eu vou comunicar as notícias para minha família em breve.,future,Jag|jag|I|Eu;ska|ska|will|vou;kommunicera|kommunicera|communicate|comunicar;nyheterna|nyheterna|the news|as notícias;till|till|to|para;min|min|my|minha;familj|familj|family|família;snart.|snart|soon.|em breve.,
kelly-1469-kommunikation,kommunikation,noun,communication,comunicação,kommunikation,A2,6816,59.79,kelly,God kommunikation är mycket viktig för alla bra relationer.,Good communication is very important for all good relationships.,Uma boa comunicação é muito importante para todos os bons relacionamentos.,,God|god|—|—;kommunikation|kommunikation|communication|comunicação;är|är|is|é;mycket|mycket|much|muito;viktig|viktig|—|—;för|för|—|—;alla|alla|—|—;bra|bra|good|bom;relationer.|relationer|—|—,Vi behöver förbättra vår kommunikation på kontoret varje dag.,We need to improve our communication at the office every day.,Nós precisamos melhorar nossa comunicação no escritório todos os dias.,,Vi|vi|we|nós;behöver|behöver|—|—;förbättra|förbättra|—|—;vår|vår|—|—;kommunikation|kommunikation|communication|comunicação;på|på|on|em;kontoret|kontoret|—|—;varje|varje|—|—;dag.|dag|—|—,Modern teknik gör global kommunikation snabbare och enklare nu.,Modern technology makes global communication faster and easier now.,A tecnologia moderna torna a comunicação global mais rápida e fácil agora.,,Modern|modern|—|—;teknik|teknik|—|—;gör|gör|—|—;global|global|—|—;kommunikation|kommunikation|communication|comunicação;snabbare|snabbare|—|—;och|och|and|e;enklare|enklare|—|—;nu.|nu|now|agora,
kelly-7593-kommunikativ,kommunikativ,adjective,communicative,comunicativo,kommunikativ,C2,,2.1,kelly,,,,,,,,,,,,,,,,
kelly-2304-kommunism,kommunism,noun,communism,comunismo,kommunism,A2,3602,31.6,kelly,Många människor läste böcker om kommunism i skolan.,Many people read books about communism in school.,Muitas pessoas leram livros sobre comunismo na escola.,,Många|många|—|—;människor|människor|—|—;läste|läste|—|—;böcker|böcker|—|—;om|om|about|sobre;kommunism|kommunism|communism|comunismo;i|i|in|em;skolan.|skolan|—|—,Han studerade hur kommunism påverkade landet under förra seklet.,He studied how communism affected the country during the last century.,Ele estudou como o comunismo afetou o país durante o século passado.,,Han|han|he|ele;studerade|studerade|—|—;hur|hur|how|como;kommunism|kommunism|communism|comunismo;påverkade|påverkade|—|—;landet|landet|—|—;under|under|—|—;förra|förra|—|—;seklet.|seklet|—|—,Min lärare förklarade vad kommunism betyder för en politisk grupp.,My teacher explained what communism means for a political group.,Meu professor explicou o que o comunismo significa para um grupo político.,,Min|min|—|—;lärare|lärare|—|—;förklarade|förklarade|—|—;vad|vad|what|o quê;kommunism|kommunism|communism|comunismo;betyder|betyder|—|—;för|för|—|—;en|en|a|um;politisk|politisk|—|—;grupp.|grupp|—|—,
kelly-2146-kommunist,kommunist,noun,communist,comunista,kommunist,A2,3981,34.92,kelly,Min morfar var en övertygad kommunist under hela sitt liv.,My grandfather was a convinced communist throughout his life.,Meu avô foi um comunista convicto durante toda a sua vida.,,Min|min|—|—;morfar|morfar|—|—;var|var|was|era;en|en|a|um;övertygad|övertygad|—|—;kommunist|kommunist|communist|comunista;under|under|—|—;hela|hela|—|—;sitt|sitt|—|—;liv.|liv|—|—,Han läser böcker om vad en kommunist faktiskt tycker idag.,He reads books about what a communist actually thinks today.,Ele lê livros sobre o que um comunista realmente pensa hoje.,,Han|han|he|ele;läser|läser|—|—;böcker|böcker|—|—;om|om|about|sobre;vad|vad|what|o quê;en|en|a|um;kommunist|kommunist|communist|comunista;faktiskt|faktiskt|—|—;tycker|tycker|—|—;idag.|idag|today|hoje,Många unga politiker kallar sig själva för en modern kommunist.,Many young politicians call themselves a modern communist.,Muitos políticos jovens se autodenominam um comunista moderno.,,Många|många|—|—;unga|unga|—|—;politiker|politiker|—|—;kallar|kallar|—|—;sig|sig|oneself|se;själva|själva|—|—;för|för|—|—;en|en|a|um;modern|modern|—|—;kommunist.|kommunist|communist|comunista,
kelly-2136-kommunistisk,kommunistisk,adjective,communist,comunista,kommunistisk;kommunistiskt,A2,4008,35.16,kelly,Han läste en gammal kommunistisk bok i biblioteket.,He read an old communist book in the library.,Ele leu um livro comunista antigo na biblioteca.,,Han|han|he|ele;läste|läste|—|—;en|en|a|um;gammal|gammal|—|—;kommunistisk|kommunistisk|communist|comunista;bok|bok|—|—;i|i|in|em;biblioteket.|biblioteket|—|—,Det finns ett litet kommunistiskt parti i landet.,There is a small communist party in the country.,Existe um pequeno partido comunista no país.,,Det|det|it|isso;finns|finns|—|—;ett|ett|a|um;litet|litet|—|—;kommunistiskt|kommunistisk|communist|comunista;parti|parti|—|—;i|i|in|em;landet.|landet|—|—,Deras ideologi var tydligt kommunistisk under hela perioden.,Their ideology was clearly communist during the whole period.,A ideologia deles era claramente comunista durante todo o período.,,Deras|deras|—|—;ideologi|ideologi|—|—;var|var|was|era;tydligt|tydligt|—|—;kommunistisk|kommunistisk|communist|comunista;under|under|—|—;hela|hela|—|—;perioden.|perioden|—|—,
kelly-3690-kommunistparti,kommunistparti,noun,communist party,partido comunista,kommunistparti,B1,1686,14.79,kelly,,,,,,,,,,,,,,,,
kelly-5046-kommunstyrelse,kommunstyrelse,noun,municipal board,conselho municipal,kommunstyrelse,B2,966,8.47,kelly,,,,,,,,,,,,,,,,
kelly-6591-kompakt,kompakt,adjective,compact,compacto,kompakt,C1,,4.71,kelly,,,,,,,,,,,,,,,,
kelly-6685-kompani,kompani,noun,company,companhia,kompani,C1,,4.39,kelly,,,,,,,,,,,,,,,,
kelly-7990-kompanjon,kompanjon,noun,companion,camarada,kompanjon,C2,,1.18,kelly,,,,,,,,,,,,,,,,
kelly-7465-kompatibel,kompatibel,adjective,compatible,compatível,kompatibel,C2,,2.4,kelly,,,,,,,,,,,,,,,,
kelly-4690-kompensation,kompensation,noun,compensation,compensação,kompensation,B2,1112,9.75,kelly,,,,,,,,,,,,,,,,
kelly-3666-kompensera,kompensera,verb,compensate,compensar,kompensera,B1,1706,14.96,kelly,,,,,,,,,,,,,,,,
kelly-1818-kompetens,kompetens,noun,competence / skill,competência,kompetens,A2,5145,45.13,kelly,Hon har hög kompetens inom modern programmering.,She has high competence in modern programming.,Ela tem alta competência em programação moderna.,,Hon|hon|she|ela;har|har|has|tem;hög|hög|—|—;kompetens|kompetens|competence|competência;inom|inom|—|—;modern|modern|—|—;programmering.|programmering|—|—,Detta jobb kräver stor kompetens och erfarenhet.,This job requires great skill and experience.,Este trabalho exige grande competência e experiência.,,Detta|detta|—|—;jobb|jobb|—|—;kräver|kräver|—|—;stor|stor|—|—;kompetens|kompetens|competence|competência;och|och|and|e;erfarenhet.|erfarenhet|—|—,Vi vill utveckla vår kompetens genom nya kurser.,We want to develop our skills through new courses.,Nós queremos desenvolver nossa competência através de novos cursos.,,Vi|vi|we|nós;vill|vill|—|—;utveckla|utveckla|—|—;vår|vår|—|—;kompetens|kompetens|competence|competência;genom|genom|—|—;nya|nya|—|—;kurser.|kurser|—|—,
kelly-3864-kompetent,kompetent,adjective,competent / skilled,competente,kompetent,B1,1562,13.7,kelly,,,,,,,,,,,,,,,,
kelly-1589-kompis,kompis,noun,mate / comrade,colega,kompis,A2,6151,53.95,kelly,Min bästa kompis bor i en annan stad nu.,My best mate lives in another city now.,Meu melhor colega mora em outra cidade agora.,,Min|min|—|—;bästa|bästa|—|—;kompis|kompis|mate|colega;bor|bor|—|—;i|i|in|em;en|en|a|um;annan|annan|—|—;stad|stad|—|—;nu.|nu|now|agora,Jag ska gå på bio med en god kompis.,I am going to the cinema with a good mate.,Eu vou ao cinema com um bom colega.,,Jag|jag|I|eu;ska|ska|will|vai;gå|gå|—|—;på|på|on|em;bio|bio|—|—;med|med|with|com;en|en|a|um;god|god|—|—;kompis.|kompis|mate|colega,Han är en rolig kompis att spela fotboll med.,He is a fun mate to play football with.,Ele é um colega divertido para jogar futebol.,,Han|han|he|ele;är|är|is|é;en|en|a|um;rolig|rolig|—|—;kompis|kompis|mate|colega;att|att|—|—;spela|spela|—|—;fotboll|fotboll|—|—;med.|med|with|com,
kelly-5037-komplement,komplement,noun,complement / complementary angle,cenário,komplement,B2,970,8.51,kelly,,,,,,,,,,,,,,,,
kelly-3813-komplett,komplett,adjective,complete,completo,komplett,B1,1596,14,kelly,,,,,,,,,,,,,,,,
kelly-2451-komplettera,komplettera,verb,complete / complement,completar,komplettera;kompletterade;med;kompletterar,A2,3299,28.94,kelly,Jag kompletterade min ansökan med alla nödvändiga dokument igår.,I completed my application with all necessary documents yesterday.,Eu completei minha inscrição com todos os documentos necessários ontem.,past,Jag|jag|I|eu;kompletterade|kompletterade|—|—;min|min|—|—;ansökan|ansökan|—|—;med|med|with|com;alla|alla|—|—;nödvändiga|nödvändiga|—|—;dokument|dokument|—|—;igår.|igår|yesterday|ontem,Dessa färger kompletterar varandra mycket bra i köket.,These colors complement each other very well in the kitchen.,Essas cores se complementam muito bem na cozinha.,present,Dessa|dessa|—|—;färger|färger|—|—;kompletterar|kompletterar|—|—;varandra|varandra|—|—;mycket|mycket|much|muito;bra|bra|good|bom;i|i|in|em;köket.|köket|—|—,Vi kommer att komplettera kursen med en praktisk övning.,We will complement the course with a practical exercise.,Nós vamos completar o curso com um exercício prático.,future,Vi|vi|we|nós;kommer|kommer|—|—;att|att|—|—;komplettera|komplettera|complete|completar;kursen|kursen|—|—;med|med|with|com;en|en|a|um;praktisk|praktisk|—|—;övning.|övning|—|—,
kelly-2894-komplex,komplex,adjective,complex,complexo,komplex,B1,2554,22.4,kelly,Det här problemet är mycket komplex för oss.,This problem is very complex for us.,Este problema é muito complexo para nós.,,Det|det|This|Este;här|här|here|aqui;problemet|problemet|problem|problema;är|är|is|é;mycket|mycket|very|muito;komplex|komplex|complex|complexo;för|för|for|para;oss.|oss|us.|nós.,Hennes nya bok har en komplex handling.,Her new book has a complex plot.,O novo livro dela tem uma trama complexa.,,Hennes|hennes|Her|Dela;nya|nya|new|novo;bok|bok|book|livro;har|har|has|tem;en|en|a|uma;komplex|komplex|complex|complexa;handling.|handling|plot.|trama.,Språket i avtalet är tyvärr ganska komplex.,The language in the contract is unfortunately quite complex.,A linguagem no contrato é infelizmente bastante complexa.,,Språket|språket|The language|A linguagem;i|i|in|no;avtalet|avtalet|the contract|contrato;är|är|is|é;tyvärr|tyvärr|unfortunately|infelizmente;ganska|ganska|quite|bastante;komplex.|komplex|complex.|complexa.,
kelly-6349-komplexitet,komplexitet,noun,complexity,complexidade,komplexitet,C1,,5.53,kelly,,,,,,,,,,,,,,,,
kelly-7228-komplicera,komplicera,verb,complicate / complexify,complicar,komplicera,C2,,2.92,kelly,,,,,,,,,,,,,,,,
kelly-2283-komplicerad,komplicerad,adjective,complicated,complicado,komplicerad,A2,,31.95,kelly,,,,,,,,,,,,,,,,
kelly-6491-komplikation,komplikation,noun,complication,complicação,komplikation,C1,,5.05,kelly,,,,,,,,,,,,,,,,
kelly-7238-komplimang,komplimang,noun,compliment,elogio,komplimang,C2,,2.9,kelly,,,,,,,,,,,,,,,,
kelly-7903-komplott,komplott,noun,plot,complô,komplott,C2,,1.37,kelly,,,,,,,,,,,,,,,,
kelly-3670-komponent,komponent,noun,component,componente,komponent,B1,1700,14.91,kelly,,,,,,,,,,,,,,,,
kelly-6906-komponera,komponera,verb,compose,compor,komponera,C1,,3.7,kelly,,,,,,,,,,,,,,,,
kelly-6993-komposition,komposition,noun,composition,composição,komposition,C1,,3.48,kelly,,,,,,,,,,,,,,,,
kelly-6509-kompositor,kompositör,noun,composer,compositor,kompositör,C1,,4.97,kelly,,,,,,,,,,,,,,,,
kelly-3798-kompromiss,kompromiss,noun,compromise,compromisso,kompromiss,B1,1604,14.07,kelly,,,,,,,,,,,,,,,,
kelly-5292-kompromissa,kompromissa,verb,compromise,conseguir,kompromissa,B2,889,7.8,kelly,,,,,,,,,,,,,,,,
kelly-4333-koncentration,koncentration,noun,concentration,concentração,koncentration,B2,1287,11.29,kelly,,,,,,,,,,,,,,,,
kelly-2807-koncentrera,koncentrera,verb,concentrate / on,concentrar,koncentrera;koncentrerade;koncentrerar,A2,2688,23.58,kelly,Jag koncentrerade mig på att läsa den svåra boken.,I concentrated on reading the difficult book.,Eu me concentrei em ler o livro difícil.,past,Jag|jag|I|Eu;koncentrerade|koncentrerade|concentrated|me concentrei;mig|mig|myself|me;på|på|on|em;att|att|to|ler;läsa|läsa|read|ler;den|den|the|o;svåra|svåra|difficult|difícil;boken.|boken|book.|livro.,Eleverna koncentrerar sig nu på sina viktiga uppgifter.,The students are now concentrating on their important tasks.,Os alunos estão agora se concentrando em suas tarefas importantes.,present,Eleverna|eleverna|The students|Os alunos;koncentrerar|koncentrerar|concentrate|estão se concentrando;sig|sig|themselves|se;nu|nu|now|agora;på|på|on|em;sina|sina|their|suas;viktiga|viktiga|important|importantes;uppgifter.|uppgifter|tasks.|tarefas.,Vi ska koncentrera oss på arbetet i morgon bitti.,We will concentrate on the work tomorrow morning.,Nós vamos nos concentrar no trabalho amanhã de manhã.,future,Vi|vi|We|Nós;ska|ska|will|vamos;koncentrera|koncentrera|concentrate|nos concentrar;oss|oss|ourselves|nos;på|på|on|no;arbetet|arbetet|work|trabalho;i|i|in|de;morgon|morgon|morning|manhã;bitti.|bitti|early.|cedo.,e.g. koncentrera sig
kelly-3019-koncept,koncept,noun,concept / draft,conceito,koncept,B1,2377,20.85,kelly,Deras nya koncept verkar vara mycket intressant.,Their new concept seems very interesting.,O novo conceito deles parece muito interessante.,,Deras|deras|Their|deles;nya|nya|new|novo;koncept|koncept|concept|conceito;verkar|verkar|seems|parece;vara|vara|to be|ser;mycket|mycket|very|muito;intressant.|intressant|interesting.|interessante.,Vi har skapat ett första koncept för projektet.,We have created a first draft for the project.,Nós criamos um primeiro rascunho para o projeto.,,Vi|vi|We|Nós;har|har|have|temos;skapat|skapat|created|criado;ett|ett|a|um;första|första|first|primeiro;koncept|koncept|draft|rascunho;för|för|for|para;projektet.|projektet|the project.|o projeto.,Det här konceptet bygger på en enkel idé.,This concept is based on a simple idea.,Este conceito é baseado em uma ideia simples.,,Det|det|This|Este;här|här|here|aqui;konceptet|konceptet|concept|conceito;bygger|bygger|builds/is based|é baseado;på|på|on|em;en|en|a|uma;enkel|enkel|simple|simples;idé.|idé|idea.|ideia.,
kelly-4914-koncern,koncern,noun,group,tribo,koncern,B2,1019,8.94,kelly,,,,,,,,,,,,,,,,
kelly-7845-koncession,koncession,noun,concession,concessão,koncession,C2,,1.49,kelly,,,,,,,,,,,,,,,,
kelly-7000-kondition,kondition,noun,condition / term,condição / cláusula,kondition,C1,,3.46,kelly,,,,,,,,,,,,,,,,
kelly-6501-kondom,kondom,noun,condom / rubber,preservativo / camisinha,kondom,C1,,5.01,kelly,,,,,,,,,,,,,,,,
kelly-7932-konduktor,konduktör,noun,conductor / guard,cobrador,konduktör,C2,,1.29,kelly,,,,,,,,,,,,,,,,
kelly-1845-konferens,konferens,noun,conference / convention,conferência,konferens,A2,4980,43.68,kelly,Jag ska åka på en stor konferens i Stockholm imorgon.,I am going to a big conference in Stockholm tomorrow.,Eu vou a uma grande conferência em Estocolmo amanhã.,,Jag|jag|I|eu;ska|ska|will|vai;åka|åka|—|—;på|på|on|em;en|en|a|um;stor|stor|—|—;konferens|konferens|conference|conferência;i|i|in|em;Stockholm|stockholm|—|—;imorgon.|imorgon|tomorrow|amanhã,Vi diskuterade nya idéer under vår årliga konferens förra veckan.,We discussed new ideas during our annual conference last week.,Nós discutimos novas ideias durante nossa conferência anual semana passada.,,Vi|vi|we|nós;diskuterade|diskuterade|—|—;nya|nya|—|—;idéer|idéer|—|—;under|under|—|—;vår|vår|—|—;årliga|årliga|—|—;konferens|konferens|conference|conferência;förra|förra|—|—;veckan.|veckan|—|—,Många experter deltar i denna internationella konferens om miljön.,Many experts are participating in this international conference about the environment.,Muitos especialistas participam desta conferência internacional sobre o meio ambiente.,,Många|många|—|—;experter|experter|—|—;deltar|deltar|—|—;i|i|in|em;denna|denna|—|—;internationella|internationella|—|—;konferens|konferens|conference|conferência;om|om|about|sobre;miljön.|miljön|—|—,
kelly-7689-konfiguration,konfiguration,noun,configuration,configuração,konfiguration,C2,,1.86,kelly,,,,,,,,,,,,,,,,
kelly-7885-konfirmation,konfirmation,noun,confirmation,confirmação / crisma,konfirmation,C2,,1.4,kelly,,,,,,,,,,,,,,,,
kelly-902-konflikt,konflikt,noun,conflict / clash,conflito,konflikt,A1,12448,109.19,kelly,Det finns en stor konflikt mellan de två vännerna.,There is a big conflict between the two friends.,Existe um grande conflito entre os dois amigos.,,Det|det|it|isso;finns|finns|—|—;en|en|a|um;stor|stor|—|—;konflikt|konflikt|conflict|conflito;mellan|mellan|—|—;de|de|they|eles;två|två|—|—;vännerna.|vännerna|—|—,Vi vill undvika varje form av konflikt på jobbet.,We want to avoid every form of conflict at work.,Nós queremos evitar qualquer tipo de conflito no trabalho.,,Vi|vi|we|nós;vill|vill|—|—;undvika|undvika|—|—;varje|varje|—|—;form|form|—|—;av|av|—|—;konflikt|konflikt|conflict|conflito;på|på|on|em;jobbet.|jobbet|—|—,Deras konflikt handlar om pengar och gamla lån.,Their conflict is about money and old loans.,O conflito deles é sobre dinheiro e empréstimos antigos.,,Deras|deras|—|—;konflikt|konflikt|conflict|conflito;handlar|handlar|—|—;om|om|about|sobre;pengar|pengar|money|dinheiro;och|och|and|e;gamla|gamla|—|—;lån.|lån|—|—,
kelly-5717-konfrontation,konfrontation,noun,confrontation,confronto,konfrontation,C1,782,6.86,kelly,,,,,,,,,,,,,,,,
